link,price,description
https://www.kufar.by/item/200388875?rank=151&searchId=9e481aaeaba875b4cf7fa69f3bd977912af3,150,МанежБрест
https://www.kufar.by/item/193981505?rank=152&searchId=9e481aaeaba875b4cf7fa69f3bd977912af3,100,"СРОЧНО Продам 2 кресла.Минск, Московский"
https://www.kufar.by/item/200388872?rank=153&searchId=9e481aaeaba875b4cf7fa69f3bd977912af3,70,"Прикроватный столикМинск, Центральный"
https://www.kufar.by/item/200388877?rank=154&searchId=9e481aaeaba875b4cf7fa69f3bd977912af3,100,"Кресло мешокМинская, Борисов"
https://www.kufar.by/item/20273771?rank=155&searchId=9e481aaeaba875b4cf7fa69f3bd977912af3,25,04 Обеденный Стул Стол Табурет ДоставкаГродноДоставка
https://www.kufar.by/item/56832184?rank=156&searchId=9e481aaeaba875b4cf7fa69f3bd977912af3,25,03 РАСПРОДАЖА  Стульев Табурет по РБМогилевДоставка
https://www.kufar.by/item/200388790?rank=157&searchId=9e481aaeaba875b4cf7fa69f3bd977912af3,20,"Матрас 120*60Гродненская, Берестовица"
https://www.kufar.by/item/185704381?rank=158&searchId=9e481aaeaba875b4cf7fa69f3bd977912af3,70,"70р только 5 дней Стол компьютерный угловойМинск, Ленинский"
https://www.kufar.by/item/200388721?rank=159&searchId=9e481aaeaba875b4cf7fa69f3bd977912af3,100,"Стеллаж книжныйМинск, Московский"
https://www.kufar.by/item/200388714?rank=160&searchId=9e481aaeaba875b4cf7fa69f3bd977912af3,250,КроватьГомель
https://www.kufar.by/item/200388704?rank=161&searchId=9e481aaeaba875b4cf7fa69f3bd977912af3,290,"Кроватка идеальное состояние трансформерМинск, Советский"
https://www.kufar.by/item/200388705?rank=162&searchId=9e481aaeaba875b4cf7fa69f3bd977912af3,150,"Двухъярусная кровать AlbaБрестская, Ганцевичи"
https://www.kufar.by/item/197890824?rank=164&searchId=9e481aaeaba875b4cf7fa69f3bd977912af3,350,"Кровать двухспальная Минская, Червень"
https://www.kufar.by/item/200388623?rank=166&searchId=9e481aaeaba875b4cf7fa69f3bd977912af3,120,"Комод Минск, Фрунзенский"
https://www.kufar.by/item/198051318?rank=167&searchId=9e481aaeaba875b4cf7fa69f3bd977912af3,260,"Кресло Лорд Минская, Солигорск"
https://www.kufar.by/item/199653293?rank=168&searchId=9e481aaeaba875b4cf7fa69f3bd977912af3,350,Шкаф купеВитебск
https://www.kufar.by/item/200388609?rank=170&searchId=9e481aaeaba875b4cf7fa69f3bd977912af3,70,"Продам срочно кровать с матрасом,отличное состояниГомель"
https://www.kufar.by/item/200388593?rank=171&searchId=9e481aaeaba875b4cf7fa69f3bd977912af3,150,"Стулья для кухниГомельская, Мозырь"
https://www.kufar.by/item/182907264,300,"Комод К-28 800*440*1200Минск, СоветскийДоставка по Беларуси"
https://www.kufar.by/item/192428755,250,"Стол письменный СТ-8Минск, СоветскийДоставка по Беларуси"
https://www.kufar.by/item/107745058,77,"Новый. Стол письменный, стол офисный. Минск, ФрунзенскийДоставка по Беларуси"
